dog_id,dog_id_link,registered_name,registered_name_link,call_name,registration_#,whelp_date,deceased,dna_reg_#,cert_test_by,tested,cert_#___report_#,findings,test_date,total_dogs_in_pedigree:,3,oldest_generation:,0,529,9,pct_blood,occurs
13127,Dog_Detail?DogID=13127,GWEEBARRA'S BRONZE STAR,Dog_Detail?DogID=13127,KIP,WP61609002 (AKC),"Feb 17, 1995","Jan 1, 2005",,,,,,,,,,,,,,
15613,Dog_Detail?DogID=15613,GWEEBARRA'S C BERTHA RUN,Dog_Detail?DogID=15613,BERTHA,WP75970807 (AKC),"Jan 11, 1997","Jan 31, 2003",,,,,,,,,,,,,,
15612,Dog_Detail?DogID=15612,GWEEBARRAS CELTIC MCCLOUD,Dog_Detail?DogID=15612,MAC,WP75970805 (AKC),"Jan 11, 1997","Jun 1, 2002",,,,,,,,,,,,,,
15611,Dog_Detail?DogID=15611,GWEEBARRA'S CHARMING BERNIE,Dog_Detail?DogID=15611,BERNIE,WP75970804,"Jan 11, 1997",,,,,,,,,,,,,,,
15607,Dog_Detail?DogID=15607,GWEEBARRAS CHEATIN HEART,Dog_Detail?DogID=15607,HANK,WP75970801 (AKC),"Jan 11, 1997","May 31, 2007",P37236 (AKC),,,,,,,,,,,,,
15610,Dog_Detail?DogID=15610,GWEEBARRA'S COOL BREEZE,Dog_Detail?DogID=15610,HARLEY,WP75970806 (AKC),"Jan 11, 1997","Sep 3, 2009",,,,,,,,,,,,,,
15614,Dog_Detail?DogID=15614,GWEEBARRA'S CRIMSON KING,Dog_Detail?DogID=15614,DUGAN,WP75970808 (AKC),"Jan 11, 1997","Jun 30, 2002",,,,,,,,,,,,,,
15609,Dog_Detail?DogID=15609,GWEEBARRA'S CUNNING CLOIE,Dog_Detail?DogID=15609,,WP75970803 (AKC),"Jan 11, 1997","Dec 25, 2002",,,,,,,,,,,,,,
52588,Dog_Detail?DogID=52588,GWEEBARRA'S DON'T FENCE ME IN,Dog_Detail?DogID=52588,FREYA,WP84155001 (AKC),"Feb 24, 1998",,,,,,,,,,,,,,,
52590,Dog_Detail?DogID=52590,GWEEBARRA'S DRIVING MISS DAISY,Dog_Detail?DogID=52590,DAISY,WP84155004 (AKC),"Feb 24, 1998","Jan 13, 2005",,,,,,,,,,,,,,
35074,Dog_Detail?DogID=35074,GWEEBARRA'S ENERGIZER,Dog_Detail?DogID=35074,BUNNY,WP94105501 (AKC),"Oct 6, 1999","Oct 29, 2009",,,,,,,,,,,,,,
52598,Dog_Detail?DogID=52598,GWEEBARRA'S FANCY PANTS,Dog_Detail?DogID=52598,,WP96354704 (AKC),"Feb 18, 2000",,,,,,,,,,,,,,,
52594,Dog_Detail?DogID=52594,GWEEBARRA'S FRANGISTA,Dog_Detail?DogID=52594,JAKE,WP96354703 (AKC),"Feb 18, 2000","Jul 23, 2009",,,,,,,,,,,,,,
52596,Dog_Detail?DogID=52596,GWEEBARRA'S FREE AS A BIRD,Dog_Detail?DogID=52596,KADEE,WP96354702 (AKC),"Feb 18, 2000","Feb 22, 2012",,,,,,,,,,,,,,
19442,Dog_Detail?DogID=19442,GWEEBARRA'S GENTLE BOWMAN,Dog_Detail?DogID=19442,,WS02193702 (AKC),"Nov 14, 2002",,,,,,,,,,,,,,,
19441,Dog_Detail?DogID=19441,GWEEBARRA'S GRAND PRIX,Dog_Detail?DogID=19441,ENZO,WS02193701 (AKC),"Nov 14, 2002","Sep 6, 2013",,,,,,,,,,,,,,
19443,Dog_Detail?DogID=19443,GWEEBARRA'S HIGH OCTANE,Dog_Detail?DogID=19443,ETHYL,WS08413601 (AKC),"Apr 26, 2004","Mar 17, 2009",V417692 (AKC),,,,,,,,,,,,,
44991,Dog_Detail?DogID=44991,GWEEBARRA'S IKE BRINKLEY ESPOSITO,Dog_Detail?DogID=44991,BRINKLEY,WS19970403 (AKC),"Dec 22, 2006",,,,,,,,,,,,,,,
44994,Dog_Detail?DogID=44994,GWEEBARRA'S I'M NO TROUBL HUBBLE,Dog_Detail?DogID=44994,HUBBLE,WS19970406,"Dec 22, 2006","Sep 27, 2015",,,,,,,,,,,,,,
44990,Dog_Detail?DogID=44990,GWEEBARRA'S IMPECCABLE AJAX,Dog_Detail?DogID=44990,AJAX,WS19970402 (AKC),"Dec 22, 2006",,V554985 (AKC),,,,,,,,,,,,,
